Title,Genre,Director,Actors,Year,Runtime (Minutes),Revenue (Millions)
Congo,"'Action,Adventure,Thrillers'",Frank Marshall,"'Dylan Walsh, Laura Linney, Ernie Hudson, Tim Curry, Joe Don Baker, Grant Heslov, Adewale Akinnuoye-Agbaje, Mary Ellen Trainor'",1995,108,
Jaws,"'Action,Classic,Drama,Cult'",Steven Spielberg,"'Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary, Murray Hamilton, Carl Gottlieb, Jeffrey Kramer, Susan Backlinie, Jonathan Filley, Ted Grossman'",1975,124,
Jaws 2,"'Adventure,Drama,Horror,Thriller'",Jeannot Szwarc,"'Roy Scheider, Lorraine Gary, Murray Hamilton, Joseph Mascolo, Jeffrey Kramer, Collin Wilcox Paxton, Ann Dusenberry, Mark Gruner, Barry Coe, Susan French'",1978,116,
The Spiderwick Chronicles,"'Children,Family'",Mark Waters,"'Freddie Highmore, Mary-Louise Parker, Sarah Bolger, Joan Plowright, David Strathairn, Nick Nolte, Seth Rogen, Andrew McCarthy, Martin Short'",2008,97,
White Christmas,"'Children,Family,Classic,Comedy'",Michael Curtiz,"'Bing Crosby, Danny Kaye, Rosemary Clooney, Vera-Ellen, Dean Jagger, Mary Wickes, John Brascia, Anne Whitfield, George Chakiris'",1954,120,
Aliens Stole My Body,"'Children,Family,Comedy'",Sean McNamara,"'Jayden Greig, Lauren McNamara, Dan Payne, Alex Zahara, Sean Quan, Kirsten Robek, Ty Consiglio, Christian Convery, Sandy Robson, Christina Meredith Lewall, George Takei'",2020,88,
Kung Fu Panda,"'Children,Family,Comedy'","John Stevenson, Mark Osborne","'Jack Black, Dustin Hoffman, Angelina Jolie, Ian McShane, Seth Rogen, Lucy Liu, Jackie Chan, David Cross, Randall Duk Kim, James Hong'",2008,94,
Monster House,"'Children,Family,Comedy'",Gil Kenan,"'Mitchel Musso, Sam Lerner, Spencer Locke, Steve Buscemi, Kathleen Turner, Jason Lee, Jon Heder, Maggie Gyllenhaal, Catherine O'Hara, Fred Willard, Nick Cannon, Kevin James'",2006,91,
Rango,"'Children,Family,Comedy'",Gore Verbinski,"'Johnny Depp, Isla Fisher, Abigail Breslin, Ned Beatty, Alfred Molina, Bill Nighy, Stephen Root, Harry Dean Stanton, Timothy Olyphant, Ray Winstone'",2011,110,
Stuart Little,"'Children,Family,Comedy'",Rob Minkoff,"'Michael J. Fox, Jonathan Lipnicki, Geena Davis, Hugh Laurie, Nathan Lane'",1999,85,
The BFG,"'Children,Family,Drama'",Steven Spielberg,"'Mark Rylance, Ruby Barnhill, Penelope Wilton, Jemaine Clement, Rebecca Hall, Rafe Spall, Bill Hader, Ólafur Darri Ólafsson, Adam Godley, Michael Adamthwaite, Daniel Bacon, Jonathan Holmes, Chris Gibbs, Paul Moniz de Sa'",2016,118,
White Fang,"'Children,Family,Drama'",Alexandre Espigares,"'Nick Offerman, Rashida Jones, Paul Giamatti, Eddie Spears, David Boat, Sean Kenin, Raquel Antonia, Daniel Hagen, Stephen Kramer Glickman, William Calvert, Jason Grasl, Armando Riesco'",2018,88,
Over the Moon,"'Children,Family,Musical'",Glen Keane,"'Cathy Ang, Phillipa Soo, Ken Jeong, Robert G. Chiu, John Cho, Sandra Oh, Ruthie Ann Miles, Margaret Cho, Kimiko Glenn, Artt Butler, Irene Tsu, Clem Cheung, Conrad Ricamora'",2020,100,
Zathura,"'Children,Family,Sci-Fi,Fantasy'",Jon Favreau,"'Jonah Bobo, Josh Hutcherson, Dax Shepard, Kristen Stewart, Tim Robbins, Frank Oz, John Alexander, Derek Mears, Douglas Tait, Joe Bucaro III'",2005,101,
Ferris Bueller's Day Off,"'Classic,Comedy,Cult'",John Hughes,"'Matthew Broderick, Alan Ruck, Mia Sara, Jeffrey Jones, Jennifer Grey, Cindy Picket'",1986,103,
Monty Python's Life of Brian,"'Classic,Comedy,Cult'",Terry Jones,"'Graham Chapman, John Cleese, Terry Gilliam, Eric Idle, Terry Jones, Michael Palin, Terence Bayler, Carol Cleveland'",1979,94,
Rain Man,"'Classic,Drama'",Barry Levinson,"'Dustin Hoffman, Tom Cruise, Valeria Golino, Gerald R. Molen, Jack Murdock, Michael D. Roberts, Ralph Seymour, Lucinda Jenney, Bonnie Hunt'",1988,134,
Once Upon a Time in America,"'Classic,Drama,Cult'",Sergio Leone,"'Robert De Niro, James Woods, Elizabeth McGovern, Treat Williams, Tuesday Weld, Burt Young, Joe Pesci, Danny Aiello'",1984,229,
The Piano,"'Classic,Drama,Independent'",Jane Campion,"'Holly Hunter, Harvey Keitel, Sam Neill, Anna Paquin'",,121,
What's Eating Gilbert Grape,"'Classic,Drama,Independent'",Lasse Hallström,"'Johnny Depp, Leonardo DiCaprio, Juliette Lewis, Mary Steenburgen, Darlene Cates, Laura Harrington, Mary Kate Schellhardt, Kevin Tighe, John C. Reilly, Crispin Glover'",1993,118,
American Pie 9: Girls' Rules,'Comedy',Mike Elliott,"'Madison Pettis, Lizze Broadway, Piper Curda, Natasha Behnam, Darren Barnet, Sara Rue, Zachary Gordon, Camaron Engels, Christian Valderrama, Zayne Emory'",2020,96,
Death to 2020,'Comedy',"Al Campbell, Alice Mathias","'Samuel L. Jackson, Hugh Grant, Lisa Kudrow, Kumail Nanjiani, Tracey Ullman, Samson Kayo, Leslie Jones, Diane Morgan, Cristin Milioti, Joe Keery'",2020,71,
"Hail, Caesar!",'Comedy',"Ethan Coen, Joel Coen","'Josh Brolin, George Clooney, Scarlett Johansson, Alden Ehrenreich, Ralph Fiennes, Tilda Swinton, Channing Tatum, Frances McDormand, Jonah Hill, Veronica Osorio, Heather Goldenhersh, Alison Pill'",2016,106,
Swiped,'Comedy',Ann Deborah Fishman,"'Kendall Ryan Sanders, Noah Centineo, Nathan Gamble, Kristen Johnston, Leigh-Allyn Baker, Christian Hutcherson, Shelby Wulfert, Steve Daron, Kalani Hilliker, Maddy Curley, George Hamilton'",2018,94,
Austin Powers: International Man of Mystery,"'Comedy,Cult'",Jay Roach,"'Mike Myers, Elizabeth Hurley, Michael York, Mimi Rogers, Robert Wagner, Seth Green, Fabiana Udenio, Mindy Sterling, Paul Dillon, Charles Napier, Will Ferrell'",1997,90,
War Dogs,"'Comedy,Drama'",Todd Phillips,"'Jonah Hill, Miles Teller, Ana de Armas, Kevin Pollak, Bradley Cooper, Shaun Toub, Steve Lantz, Gregg Weiner, JB Blanc, Patrick St. Esprit'",2016,114,
Boogie Nights,"'Comedy,Drama,Independent'",Paul Thomas Anderson,"'Mark Wahlberg, Burt Reynolds, Julianne Moore, Heather Graham, William H. Macy, Don Cheadle, Philip Seymour Hoffman, John C. Reilly'",1997,155,
Captain Fantastic,"'Comedy,Drama,Independent'",Matt Ross,"'Viggo Mortensen, Frank Langella, George MacKay, Samantha Isler, Annalise Basso, Nicholas Hamilton, Shree Crooks, Charlie Shotwell, Ann Dowd, Erin Moriarty, Missi Pyle, Kathryn Hahn, Steve Zahn'",2016,119,
Lady Bird,"'Comedy,Drama,Independent'",Greta Gerwig,"'Saoirse Ronan, Laurie Metcalf, Tracy Letts, Lucas Hedges, Timothée Chalamet, Beanie Feldstein, Lois Smith, Stephen Henderson, Odeya Rush, Jordan Rodrigues'",2017,94,
Love Jones,"'Comedy,Drama,Independent'",Theodore Witcher,"'Larenz Tate, Nia Long, Isaiah Washington, Lisa Nicole Carson, Bill Bellamy, Leonard Roberts, Bernadette L. Clarke, Khalil Kain'",1997,109,
Mystic Pizza,"'Comedy,Drama,Independent'",Donald Petrie,"'Annabeth Gish, Julia Roberts, Lili Taylor, Vincent D'Onofrio, William R. Moses, Adam Storke, Conchata Ferrell, Joanna Merlin, Porscha Radcliffe, John Fiore'",1988,104,
Silver Linings Playbook,"'Comedy,Drama,Independent'",David O. Russell,"'Bradley Cooper, Jennifer Lawrence, Robert De Niro, Jacki Weaver, Chris Tucker, Anupam Kher, John Ortiz, Shea Whigham, Julia Stiles, Paul Herman'",2012,122,
Sword of Trust,"'Comedy,Drama,Independent'",Lynn Shelton,"'Marc Maron, Jon Bass, Michaela Watkins, Jillian Bell, Toby Huss, Dan Bakkedahl, Lynn Shelton, Whitmer Thomas'",2019,89,
The Death of Stalin,"'Comedy,Drama,Independent'",Armando Iannucci,"'Steve Buscemi, Simon Russell Beale, Paddy Considine, Rupert Friend, Jason Isaacs, Michael Palin, Andrea Riseborough, Jeffrey Tambor, Olga Kurylenko, Paul Chahidi'",2017,107,
The Meddler,"'Comedy,Drama,Independent'",Lorene Scafaria,"'Susan Sarandon, Rose Byrne, J.K. Simmons, Cecily Strong, Jerrod Carmichael, Michael McKean, Jason Ritter, Billy Magnussen, Lucy Punch, Sarah Baker'",2015,104,
Then Came You,"'Comedy,Drama,Independent'",Peter Hutchings,"'Asa Butterfield, Maisie Williams, Nina Dobrev, Ken Jeong, Tyler Hoechlin, David Koechner, Peyton List, Tituss Burgess'",2019,97,
A Man For The Week End,"'Comedy,Drama,International'",Achille Brice,"'Syndy Emade, Alexx Ekubo, Solange Ojong, Nchifor Valery, Miss Li, Becky Takang, Anurin Nwunembom, Nkwah Kingsley, Roger Brice Sobgo, Jeanne Mbenti'",2018,95,
Gold Statue,"'Comedy,Drama,International'",Tade Ogidan,"'Gabriel Afolayan, Kunle Remi, Richard Mofe-Damijo, Sola Sobowale, Kelvin Ikeduba, Kunle Fawole, Norbert Young, Alibaba Akporobome, Segun Arinze, Rycardo Agbor'",2019,145,
Hampstead,"'Comedy,Drama,International'",Joel Hopkins,"'Diane Keaton, Brendan Gleeson, Lesley Manville, Jason Watkins, James Norton, Phil Davis'",2019,103,
Mommy Issues,"'Comedy,Drama,International'",Jose Javier Reyes,"'Pokwang, Sue Ramirez, Jerome Ponce, Ryan Bang, Gloria Diaz'",2021,90,
Flipped,"'Comedy,Drama,Romance'",Rob Reiner,"'Madeline Carroll, Callan McAuliffe, Rebecca De Mornay, Anthony Edwards, John Mahoney, Penelope Ann Miller, Aidan Quinn, Kevin Weisman, Morgan Lily, Ryan Ketzner'",,90,
Home Again,"'Comedy,Drama,Romance'",Hallie Meyers-Shyer,"'Reese Witherspoon, Michael Sheen, Candice Bergen, Nat Wolff, Jon Rudnitsky'",2017,97,
The Mirror Has Two Faces,"'Comedy,Drama,Romance'",Barbra Streisand,"'Barbra Streisand, Jeff Bridges, Lauren Bacall, George Segal, Mimi Rogers, Pierce Brosnan, Brenda Vaccaro, Austin Pendleton, Elle Macpherson, Ali Marsh, Leslie Stefanson, Taina Elg, Lucy Avery Brooke, Amber Smith'",1996,127,
Life as We Know It,"'Comedy,Drama,Romance Movies'",Greg Berlanti,"'Katherine Heigl, Josh Duhamel, Josh Lucas, Alexis Clagett, Brynn Clagett, Brooke Clagett, Hayes MacArthur, Christina Hendricks, Sarah Burns, Jessica St. Clair'",2010,115,
The Babysitter,"'Comedy,Horror'",McG,"'Samara Weaving, Hana Mae Lee, Judah Lewis, Robbie Amell, Bella Thorne, Andrew Bachelor, Emily Alyn Lind, Leslie Bibb, Ken Marino'",2017,85,
The Babysitter: Killer Queen,"'Comedy,Horror'",McG,"'Judah Lewis, Jenna Ortega, Emily Alyn Lind, Andrew Bachelor, Robbie Amell, Bella Thorne, Hana Mae Lee, Ken Marino, Leslie Bibb, Chris Wylde, Carl McDowell'",2020,102,
Chef,"'Comedy,Independent'",Jon Favreau,"'Jon Favreau, Sofía Vergara, John Leguizamo, Scarlett Johansson, Dustin Hoffman, Oliver Platt, Bobby Cannavale, Amy Sedaris, Robert Downey Jr., Emjay Anthony, Russell Peters'",2014,115,
Bankrolled,"'Comedy,International'",Marcos Bucay,"'Aldo Escalante, Ricardo Polanco, Natalia Téllez, Fabrizio Santini'",2021,97,
Wannabe Courageous,"'Comedy,International'",Mahmoud Karim,"'Ramez Galal, Jamila Awad, Bayoumi Fouad, Mohamed Abdel-Rahman, Mohammed Tharwat'",2019,90,
Wanted,"'Comedy,International'",Nibal Arakji,"'Daad Rizk, Georges Diab, Sihame Haddad, Georges Boukhalil, Aida Sabra, Pierre Rabbat, Myriam Klink, Dory El Samarany, Josyane Boulos'",2019,90,
Sweet & Sour,"'Comedy,International, Romance'",Lee Kae-byeok,"'Jang Ki-yong, Chae Soo-bin, Jung Soo-jung'",2021,,
Rock the Kasbah,"'Comedy,Musical'",Barry Levinson,"'Bill Murray, Kate Hudson, Zooey Deschanel, Danny McBride'",2015,106,
School of Rock,"'Comedy,Musical'",Richard Linklater,"'Jack Black, Joan Cusack, Mike White, Sarah Silverman, Lee Wilkof'",2003,110,
Fools Rush In,"'Comedy,Romance'",Andy Tennant,"'Matthew Perry, Salma Hayek, Jon Tenney, Carlos Gómez, Tomas Milian, Siobhan Fallon Hogan, John Bennett Perry, Stanley DeSantis, Suzanne Snyder, Anne Betancourt, Jill Clayburgh'",1997,109,
Good on Paper,"'Comedy,Romance'",Kimmy Gatewood,"'Iliza Shlesinger, Ryan Hansen, Margaret Cho, Rebecca Rittenhouse, Matt McGorry, Tyler Cameron, Taylor Hill, Kimia Behpoornia, Rebecca Delgado Smith, Beth Dover'",2021,94,
Legally Blonde,"'Comedy,Romance'",Robert Luketic,"'Reese Witherspoon, Luke Wilson, Selma Blair, Matthew Davis, Victor Garber, Jennifer Coolidge'",2001,96,
The Four Seasons,"'Comedy,Romance'",Alan Alda,"'Alan Alda, Carol Burnett, Len Cariou, Sandy Dennis, Rita Moreno, Jack Weston, Bess Armstrong, Elizabeth Alda, Beatrice Alda'",1981,108,
The Sweetest Thing,"'Comedy,Romance'",Roger Kumble,"'Cameron Diaz, Christina Applegate, Selma Blair, Thomas Jane, Jason Bateman, Parker Posey, Frank Grillo, Eddie McClintock, Lillian Adams, Johnny Messner'",2002,89,
Yes Man,"'Comedy,Romance'",Peyton Reed,"'Jim Carrey, Zooey Deschanel, Bradley Cooper, John Michael Higgins, Rhys Darby, Danny Masterson, Fionnula Flanagan, Terence Stamp, Sasha Alexander, Molly Sims'",2008,104,
Hostel: Part III,"'Cult,Horror'",Scott Spiegel,"'Kip Pardue, Brian Hallisay, John Hensley, Sarah Habel, Chris Coy, Skyler Stone, Thomas Kretschmann, Zulay Henao, Nickola Shreli, Derrick Carr'",2011,88,
Framing John DeLorean,"'Documentaries,Drama'","Don Argott, Sheena M. Joyce","'Alec Baldwin, Josh Charles, Morena Baccarin, Dean Winters, Michael Rispoli, Dana Ashbrook, Jason Jones, Josh Cooke, Sean Cullen, William Hill'",2019,109,
Cousins,'Drama',"Ainsley Gardiner, Briar Grace-Smith","'Rachel House, Briar Grace-Smith, Tanea Heke, Tioreore Ngatai-Melbourne'",2021,99,
I Am Sam,'Drama',Jessie Nelson,"'Sean Penn, Michelle Pfeiffer, Dakota Fanning, Dianne Wiest, Loretta Devine, Richard Schiff, Laura Dern, Brad Silverman, Joseph Rosenberg, Stanley DeSantis, Doug Hutchison'",2001,132,
Killing Them Softly,'Drama',Andrew Dominik,"'Brad Pitt, Scoot McNairy, Ben Mendelsohn, Richard Jenkins, James Gandolfini, Ray Liotta, Vincent Curatola, Slaine, Max Casella, Trevor Long, Sam Shepard'",2012,97,
Steve Jobs,'Drama',Danny Boyle,"'Michael Fassbender, Kate Winslet, Seth Rogen, Jeff Daniels, Michael Stuhlbarg, Katherine Waterston, Perla Haney-Jardine, Sarah Snook, John Ortiz, Adam Shapiro'",2015,122,
The Best of Enemies,'Drama',Robin Bissell,"'Taraji P. Henson, Sam Rockwell, Babou Ceesay, Anne Heche, Wes Bentley, Nick Searcy, Bruce McGill, John Gallagher Jr., Nicholas Logan, Gilbert Glenn Brown'",2019,133,
The Impossible,'Drama',J.A. Bayona,"'Naomi Watts, Ewan McGregor, Tom Holland, Samuel Joslin, Oaklee Pendergast, Marta Etura, Sönke Möhring, Geraldine Chaplin, Ploy Jindachote, Jomjaoi Sae-Limh'",2012,114,
The Irishman,'Drama',Martin Scorsese,"'Robert De Niro, Al Pacino, Joe Pesci, Harvey Keitel, Ray Romano, Bobby Cannavale, Anna Paquin, Stephen Graham, Stephanie Kurtzuba, Kathrine Narducci'",2019,209,
The Midnight Sky,'Drama',George Clooney,"'George Clooney, Felicity Jones, Kyle Chandler, Demián Bichir, David Oyelowo, Tiffany Boone, Caoilinn Springall, Sophie Rundle, Ethan Peck'",2020,119,
The Zookeeper's Wife,'Drama',Niki Caro,"'Jessica Chastain, Johan Heldenbergh, Daniel Brühl, Timothy Radford, Efrat Dor, Iddo Goldberg, Shira Haas, Michael McElhatton, Val Maloku, Goran Kostic'",2017,127,
Villain,'Drama',Philip Barantini,"'Craig Fairbrass, George Russo, Robert Glenister, Izuka Hoyle, Mark Monero, Tomi May, Eloise Lovell Anderson, Taz Skylar, Nicholas Aaron'",2020,97,
Catch Me If You Can,"'Drama,Cult'",Steven Spielberg,"'Leonardo DiCaprio, Tom Hanks, Christopher Walken, Martin Sheen, Nathalie Baye, Amy Adams, James Brolin'",2002,142,
Mary Magdalene,"'Drama,Faith & Spirituality,International'",Garth Davis,"'Rooney Mara, Joaquin Phoenix, Chiwetel Ejiofor, Tahar Rahim, Ariane Labed, Denis Ménochet, Lubna Azabal, Tchéky Karyo, Charles Babalola, Tawfeek Barhom, Ryan Corr, Uri Gavriel, Shira Haas, Tsahi Halevi, Michael Moshonov'",2019,120,
A Ghost Story,"'Drama,Independent'",David Lowery,"'Casey Affleck, Rooney Mara, Liz Franke, Rob Zabrecky, Will Oldham, Sonia Acevedo'",2017,92,
A Private War,"'Drama,Independent'",Matthew Heineman,"'Rosamund Pike, Jamie Dornan, Tom Hollander, Stanley Tucci, Nikki Amuka-Bird, Faye Marsay, Greg Wise, Corey Johnson, Raad Rawi, Jesuthasan Antonythasan'",2018,110,
Freedom Writers,"'Drama,Independent'",Richard LaGravenese,"'Hilary Swank, Patrick Dempsey, Scott Glenn, Imelda Staunton, April L. Hernandez'",2007,124,
Magnolia,"'Drama,Independent'",Paul Thomas Anderson,"'John C. Reilly, Philip Baker Hall, Tom Cruise, Julianne Moore, Philip Seymour Hoffman, William H. Macy'",1999,189,
There Will Be Blood,"'Drama,Independent'",Paul Thomas Anderson,"'Daniel Day-Lewis, Paul Dano, Kevin J. O'Connor, Ciarán Hinds, Dillon Freasier, Sydney McCallister, David Willis, David Warshofsky, Colton Woodward, Russell Harvard'",2007,158,
Wind River,"'Drama,Independent,Crime'",Taylor Sheridan,"'Jeremy Renner, Elizabeth Olsen, Jon Bernthal, Gil Birmingham, Kelsey Asbille, Tantoo Cardinal'",2017,107,
African America,"'Drama,Independent,International'",Muzi Mthembu,"'Phumelele Mthembu, Anthony Goss, Thami Buti, Makhosazana Ndlovu'",2021,97,
Fan Girl,"'Drama,Independent,International'",Antoinette Jadaone,"'Charlie Dizon, Paulo Avelino'",2020,101,
Into the Wind,"'Drama,Independent,International'",Sofie Šustková,"'Vladimír Polívka, Jenovéfa Boková, Matyáš Řezníček'",2018,76,
The Danish Girl,"'Drama,Independent,International'",Tom Hooper,"'Eddie Redmayne, Alicia Vikander, Ben Whishaw, Sebastian Koch, Amber Heard, Matthias Schoenaerts, Pip Torrens, Nicholas Woodeson, Emerald Fennell, Adrian Schiller'",2015,120,
The Pianist,"'Drama,Independent,International'",Roman Polański,"'Adrien Brody, Thomas Kretschmann, Frank Finlay, Maureen Lipman, Emilia Fox, Ed Stoppard, Julia Rayner, Jessica Kate Meyer, Ronan Vibert, Ruth Platt'",2002,149,
Paradox,"'Drama,Independent,Musical'",Daryl Hannah,"'Neil Young, Lukas Nelson, Micah Nelson, Corey McCormick, Anthony Logerfo, Tato'",2018,74,
Copenhagen,"'Drama,Independent,Romance'",Mark Raso,"'Gethin Anthony, Frederikke Dahl Hansen, Sebastian Armesto, Olivia Grant, Baard Owe, Mille Dinesen, Martin Hestbæk, Tamzin Merchant'",2014,99,
Heavy,"'Drama,Independent,Romantic'",James Mangold,"'Pruitt Taylor Vince, Shelley Winters, Liv Tyler, Debbie Harry'",1995,104,
The Clovehitch Killer,"'Drama,Independent,Thriller'",Duncan Skiles,"'Dylan McDermott, Charlie Plummer, Samantha Mathis, Madisen Beaty, Brenna Sherman, Lance Chantiles-Wertz, Emma Jones, Jonathan Riggs'",2018,109,
The Machinist,"'Drama,Independent,Thriller, Cult'",Brad Anderson,"'Christian Bale, Jennifer Jason Leigh, Aitana Sánchez-Gijón, John Sharian, Michael Ironside'",2004,102,
Deranged,"'Drama,International'",Jameel Buari,"'Nadia Buari, Ramsey Nouah, Zynnell Zuh, Priscilla Opoku Agyeman, Jason E.L Agha, Lisbeth Lopez Acquah, Henry Prempeh, Pascaline Edwards, Prince Mingle, Kelvin Boateng'",2020,98,
Seven,"'Drama,International'",Tosin Igho,"'Efa Iwara, Richard Mofe-Damijo, Bimbo Manuel, Daddy Showkey, Patrick Diabuah, Uche Nwaefuna, Eriakha Edgar, Evaezi Ogoro, Sadiq Daba, Uzikwendu, Koffi tha guru, Orezi, Tomi Odunsi'",2019,113,
The Dig,"'Drama,International'",Simon Stone,"'Carey Mulligan, Ralph Fiennes, Lily James, Johnny Flynn, Ben Chaplin, Ken Stott'",2021,113,
The Queen,"'Drama,International'",Stephen Frears,"'Helen Mirren, Michael Sheen, James Cromwell, Helen McCrory, Alex Jennings, Roger Allam, Sylvia Syms, Mark Bazeley'",2006,103,
Pan's Labyrinth,"'Drama,International, Sci-Fi,Fantasy'",Guillermo del Toro,"'Ivana Baquero, Sergi López, Maribel Verdú, Doug Jones, Ariadna Gil, Álex Angulo, Manolo Solo, César Vea, Roger Casamajor, Sergi Lopez'",2006,119,
The Lovely Bones,"'Drama,International, Sci-Fi,Fantasy'",Peter Jackson,"'Mark Wahlberg, Rachel Weisz, Susan Sarandon, Stanley Tucci, Michael Imperioli, Saoirse Ronan, Rose McIver, Christian Thomas Ashdale, Reece Ritchie, Carolyn Dando'",2009,136,
The Bank Job,"'Drama,International, Thriller'",Roger Donaldson,"'Jason Statham, Saffron Burrows, Richard Lintern, Stephen Campbell Moore, Daniel Mays, Peter Bowles, Keeley Hawes, Colin Salmon, Alki David, James Faulkner'",2008,112,
The Girl and the Gun,"'Drama,International,Thriller'",Rae Red,"'Janine Gutierrez, Felix Roco, JC Santos, Elijah Canlas, Sky Teotico, Archi Adamos, Allan Paule, Ruby Ruiz, Bie Ruaro, Jess Mendoza'",2019,78,
The Operative,"'Drama,International,Thriller'",Yuval Adler,"'Diane Kruger, Martin Freeman, Cas Anvar, Rotem Keinan, Yohanan Herson'",2019,117,
I Am Woman,"'Drama,Musical'",Unjoo Moon,"'Tilda Cobham-Hervey, Danielle Macdonald, Evan Peters, Chris Parnell, David Lyons, Matty Cardarople, Dusty Sorg'",2019,117,
By the Sea,"'Drama,Romance'",Angelina Jolie,"'Angelina Jolie, Brad Pitt, Mélanie Laurent, Melvil Poupaud, Niels Arestrup, Richard Bohringer'",2015,122,
Cold Mountain,"'Drama,Romance'",Anthony Minghella,"'Jude Law, Nicole Kidman, Rene Zellweger, Eileen Atkins, Brendan Gleeson, Philip Seymour Hoffman, Natalie Portman, Giovanni Ribisi, Donald Sutherland, Ray Winstone'",2003,154,
Midnight Sun,"'Drama,Romance'",Scott Speer,"'Bella Thorne, Patrick Schwarzenegger, Rob Riggle, Quinn Shephard, Suleka Mathew'",2018,91,
The Theory of Everything,"'Drama,Romance'",James Marsh,"'Emily Watson, Charlie Cox, Felicity Jones, Maxine Peake, Harry Lloyd, Eddie Redmayne, David Thewlis, Simon McBurney'",2014,123,
Memoirs of a Geisha,"'Drama,Romance Movies'",Rob Marshall,"'Zhang Ziyi, Ken Watanabe, Koji Yakusho, Michelle Yeoh, Kaori Momoi, Youki Kudoh, Gong Li, Cary-Hiroyuki Tagawa, Mako Iwamatsu, Navia Nguyen, Karl Yune'",2005,145,
Up in the Air,"Drama,Romance'",'Jason Reitman',"'George Clooney, Vera Farmiga, Anna Kendrick,Jason Bateman'",2009,109,83.81
A Monster Calls,"'Drama,Sci-Fi,Fantasy'",J.A. Bayona,"'Lewis MacDougall, Sigourney Weaver, Felicity Jones, Liam Neeson, Toby Kebbell, Ben Moor, James Melville, Oliver Steer, Dominic Boyle, Geraldine Chaplin, Jennifer Lim'",2016,108,
Bird Box,"'Drama,Sci-Fi,Fantasy,Thriller'",Susanne Bier,"'Sandra Bullock, Trevante Rhodes, John Malkovich, Sarah Paulson, BD Wong, Jacki Weaver, Rosa Salazar, Danielle Macdonald, Lil Rel Howery, Tom Hollander'",2018,124,
The Titan,"'Drama,Sci-Fi,Fantasy,Thriller'",Lennart Ruff,"'Sam Worthington, Taylor Schilling, Agyness Deyn, Nathalie Emmanuel, Noah Jupe, Corey Johnson, Aleksandar Jovanovic, Diego Boneta, Tom Wilkinson'",2018,97,
High Flying Bird,"'Drama,Sport'",Steven Soderbergh,"'André Holland, Zazie Beetz, Bill Duke, Kyle MacLachlan, Melvin Gregg, Sonja Sohn, Zachary Quinto'",2019,91,
Lady Driver,"'Drama,Sport'",Shaun Paul Piccinino,"'Grace Van Dien, Sean Patrick Flanery, Christina Moore, Casper Van Dien, Amanda Detmer, John Ducey, Matthew Joel Kranyak, David Gridley'",2019,104,
Million Dollar Baby,"'Drama,Sport'",Clint Eastwood,"'Clint Eastwood, Hilary Swank, Morgan Freeman, Anthony Mackie, Jay Baruchel, Mike Colter, Lucia Rijker, Brían F. O'Byrne, Margo Martindale, Riki Lindhome'",2004,133,
An Ordinary Man,"'Drama,Thriller'",Brad Silberling,"'Ben Kingsley, Hera Hilmar, Peter Serafinowicz'",2017,91,
Awake,"'Drama,Thriller'",Mark Raso,"'Gina Rodriguez, Ariana Greenblatt, Frances Fisher, Jennifer Jason Leigh, Barry Pepper, Shamier Anderson, Finn Jones, Lucius Hoyos, Gil Bellows'",2021,97,
Mystic River,"'Drama,Thriller'",Clint Eastwood,"'Sean Penn, Tim Robbins, Kevin Bacon, Laurence Fishburne, Marcia Gay Harden, Laura Linney, Kevin Chapman, Tom Guiry, Emmy Rossum, Spencer Treat Clark'",2003,138,
Savages,"'Drama,Thriller'",Oliver Stone,"'Taylor Kitsch, Aaron Taylor-Johnson, Blake Lively, John Travolta, Benicio Del Toro, Salma Hayek, Demián Bichir, Sandra Echeverría, Emile Hirsch, Joaquín Cosío, Ali Wong'",2012,131,
Snowden,"'Drama,Thriller'",Oliver Stone,"'Joseph Gordon-Levitt, Shailene Woodley, Zachary Quinto, Melissa Leo, Tom Wilkinson, Timothy Olyphant, Nicolas Cage, Rhys Ifans, Joely Richardson, Scott Eastwood, Ben Schnetzer, Logan Marshall-Green'",2016,134,
State of Play,"'Drama,Thriller'",Kevin Macdonald,"'Russell Crowe, Ben Affleck, Rachel McAdams, Helen Mirren, Robin Wright, Jason Bateman, Jeff Daniels, Michael Berresse, Harry Lennix'",2009,127,
The American,"'Drama,Thriller'",Anton Corbijn,"'George Clooney, Violante Placido, Thekla Reuten, Paolo Bonacelli, Johan Leysen, Irina Björklund, Filippo Timi, Anna Foglietta, Björn Granath'",2010,105,
The Whole Truth,"'Drama,Thriller'",Courtney Hunt,"'Keanu Reeves, Renée Zellweger, Gugu Mbatha-Raw, Gabriel Basso, Jim Belushi, Jim Klock, Ritchie Montgomery, Christopher Berry'",2016,93,
Training Day,"'Drama,Thriller'",Antoine Fuqua,"'Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger, Harris Yulin, Raymond J. Barry, Cliff Curtis, Dr. Dre, Snoop Dogg, Macy Gray, Eva Mendes'",2001,,
Freedomland,"'Drama,Thriller,Independent,Cult'",Joe Roth,"'Samuel L. Jackson, Julianne Moore, Edie Falco, Ron Eldard, William Forsythe'",2006,113,
Zoo,"'Family, Drama, Adventure'",Colin McIvor,"'Penelope Wilton, Toby Jones, Art Parkinson, Ian McElhinney, Amy Huberman, Damian O'Hare'",2017,97,
